Cod_setor;Situacao_setor;ATEMEIOSALARIO;DEMEIOA1SALARIO;DE1A2SALARIOS;DE2A3SALARIOS;DE3A5SALARIOS;DE5A10SALARIOS;DE10A15SALARIOS;DE15A20SALARIOS;MAISDE20SALARIOS;SEMSALARIO;TOTAL
310620005620001;1;0;24;39;37;43;114;25;38;44;120;511
310620005620002;1;1;12;41;27;31;70;26;62;106;144;587
310620005620003;1;2;19;54;35;73;153;44;77;98;198;823
310620005620004;1;0;31;57;49;71;112;44;31;29;176;647
310620005620005;1;0;30;67;48;81;151;51;75;82;177;815
310620005620006;1;0;25;75;50;85;134;67;70;105;232;891
310620005620007;1;0;19;72;51;95;183;54;90;142;248;1025
310620005620008;1;0;22;50;32;61;111;34;45;32;128;550
310620005620009;1;2;26;91;46;77;133;40;65;87;176;776
310620005620010;1;0;21;30;37;57;73;22;26;27;108;420
310620005620011;1;0;32;53;55;88;148;57;57;44;175;733
310620005620012;1;1;12;44;18;43;93;33;46;66;95;479
310620005620013;1;0;21;55;17;37;80;28;58;91;143;571
310620005620014;1;0;21;51;38;75;165;54;67;81;130;733
310620005620015;1;0;5;10;10;7;36;20;14;15;28;156
310620005620016;1;0;24;43;41;87;132;42;64;93;271;845
310620005620017;1;0;15;50;26;57;122;56;55;90;149;674
310620005620018;1;1;21;44;35;54;114;53;64;73;145;649
310620005620019;1;3;18;42;34;62;127;38;47;74;118;607
310620005620020;1;1;66;88;78;84;167;42;33;26;171;797
310620005620021;1;2;40;62;63;117;136;28;23;17;131;666
310620005620022;1;5;110;96;80;99;168;53;46;22;249;1000
310620005620023;1;0;23;43;40;56;103;19;20;20;89;449
310620005620024;1;1;24;35;37;47;76;29;18;28;84;411
310620005620025;1;5;49;83;66;98;107;21;19;9;151;650
310620005620026;1;1;34;74;53;80;133;56;53;42;151;730
310620005620027;1;0;34;73;34;96;147;45;61;62;189;801
310620005620028;1;2;28;56;42;65;111;34;41;27;180;625
310620005620029;1;2;42;69;70;88;143;38;28;35;143;688
310620005620030;1;0;21;54;33;70;151;47;59;50;185;736
310620005620031;1;3;8;18;18;32;64;22;39;50;86;380
310620005620032;1;1;15;58;33;67;107;58;91;102;229;824
310620005620033;1;5;23;78;49;88;146;49;62;55;188;803
310620005620034;1;1;26;66;51;84;123;39;47;31;146;643
310620005620035;1;4;36;87;56;106;187;46;36;43;126;761
310620005620036;1;0;23;80;49;89;133;36;50;39;165;711
310620005620037;1;4;63;92;68;119;140;60;43;30;131;780
310620005620038;1;0;63;68;65;83;168;67;62;71;186;903
310620005620039;1;7;21;65;29;65;121;38;70;68;134;658
310620005620040;1;0;8;25;23;60;85;23;21;24;76;369
310620005620041;1;1;14;41;27;61;101;27;35;23;132;491
310620005620042;1;0;15;23;30;59;79;23;27;34;95;402
310620005620043;1;0;21;40;40;67;113;47;36;31;113;539
310620005620044;1;1;24;38;18;40;65;20;22;22;91;349
310620005620045;1;0;27;53;32;52;112;40;45;47;178;615
310620005620046;1;0;15;61;40;80;167;65;81;107;181;842
310620005620047;1;0;8;15;19;28;85;29;37;48;84;395
310620005620048;1;0;19;18;16;24;40;21;11;16;58;238
310620005620049;1;0;17;12;22;35;97;20;32;26;69;353
310620005620050;1;1;4;26;18;47;85;41;66;26;96;426
310620005620051;1;0;0;0;0;0;0;0;0;0;0;37
310620005620052;1;2;24;21;14;25;42;11;12;19;28;220
310620005620053;1;1;40;46;35;39;84;16;30;19;135;472
310620005620054;1;0;37;38;19;43;39;12;9;7;156;380
310620005620055;1;0;0;0;0;0;0;0;0;0;38;38
310620005620056;1;0;20;50;47;67;118;50;43;27;126;580
310620005620057;1;1;37;45;32;59;79;17;22;13;137;462
310620005620058;1;0;25;37;45;74;172;77;104;100;243;950
310620005620059;1;0;17;47;32;47;84;33;28;28;201;562
310620005620060;1;2;21;60;30;58;120;25;26;15;91;474
310620005620061;1;3;83;109;79;89;86;24;15;13;167;733
310620005620062;1;3;50;122;69;95;99;17;20;7;132;681
310620005620063;1;1;23;85;36;91;87;34;18;12;209;641
310620005620064;1;0;38;51;51;54;97;14;24;17;119;497
310620005620065;1;2;51;80;64;101;131;42;42;48;115;725
310620005620066;1;0;22;62;43;63;130;36;42;47;120;624
310620005620067;1;4;54;80;36;69;101;40;66;81;230;819
310620005620068;1;0;14;32;18;27;59;20;17;29;198;440
310620005620069;1;1;15;62;28;51;128;27;55;67;161;638
310620005620070;1;0;9;37;20;40;75;38;56;48;90;434
310620005620071;1;1;13;37;30;58;103;32;47;53;122;520
310620005620072;1;2;19;46;37;49;125;43;89;93;363;929
310620005620073;1;0;24;40;26;75;111;33;37;45;165;605
310620005620074;1;2;20;67;37;65;93;25;29;18;136;522
310620005620075;1;2;34;85;72;104;230;81;64;40;204;969
310620005620076;1;1;23;38;57;89;91;34;18;11;124;511
310620005620077;1;0;6;26;23;37;57;19;19;17;64;284
310620005620078;1;1;19;33;24;37;74;20;16;21;98;352
310620005620079;1;5;34;65;43;81;146;33;31;37;169;664
310620005620080;1;2;24;61;37;55;134;50;66;69;214;757
310620005620081;1;1;15;64;20;65;112;44;35;42;120;545
310620005620082;1;0;8;22;13;21;52;10;25;19;47;225
310620005620083;1;0;22;31;36;63;97;38;32;33;93;468
310620005620084;1;0;9;25;24;49;104;31;47;39;83;444
310620005620085;1;0;18;29;8;44;76;28;40;73;105;457
310620005620086;1;2;6;31;22;47;92;50;44;62;89;458
310620005620087;1;2;13;35;26;41;80;34;53;57;97;466
310620005620088;1;0;54;57;37;68;119;57;54;80;229;796
310620005620089;1;7;37;108;55;97;141;46;47;38;135;731
310620005620090;1;1;29;48;38;55;89;28;18;16;97;428
310620005620091;1;3;33;53;69;110;126;27;22;21;148;625
310620005620092;1;4;66;99;47;64;51;6;4;3;86;444
310620005620093;1;1;39;71;39;81;145;34;30;27;180;678
310620005620094;1;0;12;22;16;56;75;25;20;20;87;357
310620005620095;1;5;40;94;57;100;113;41;33;19;143;686
310620005620096;1;17;282;270;62;34;8;2;1;0;233;1055
310620005620097;1;12;174;107;20;4;4;0;0;0;108;489
310620005620098;1;3;93;73;16;6;8;1;1;2;133;393
310620005620099;1;20;262;134;26;11;4;0;0;0;221;800
310620005620100;1;17;223;105;11;10;6;0;0;0;163;645
310620005620101;1;6;220;186;28;6;3;1;0;0;243;832
310620005620102;1;3;29;21;0;0;0;0;0;0;42;127
310620005620103;1;19;298;104;24;8;7;0;0;0;195;751
310620005620104;1;5;164;103;17;7;2;0;1;0;120;490
310620005620105;1;25;173;108;6;14;3;1;0;0;219;684
310620005620106;1;0;24;27;15;34;79;32;45;78;171;555
310620005620107;1;7;36;39;11;6;3;0;0;0;33;158
310620005620108;1;9;182;76;9;2;2;0;1;3;173;562
310620005620109;1;23;254;178;23;5;6;1;2;0;224;898
310620005620110;1;31;107;68;7;4;1;1;1;0;145;468
310620005620111;1;22;211;86;15;6;0;0;3;0;263;750
310620005620112;1;76;230;119;13;2;2;0;1;0;253;905
310620005620113;1;34;186;88;19;2;0;0;1;1;207;698
310620005620114;1;16;164;106;7;9;2;0;0;0;206;633
310620005620115;1;18;277;110;10;6;0;0;0;0;270;850
310620005620116;1;21;151;84;13;4;3;0;0;0;161;523
310620005620117;1;28;97;62;11;2;0;0;0;0;118;382
310620005620118;1;11;118;100;17;2;1;0;0;0;87;397
310620005620119;1;17;144;77;3;0;0;0;0;0;100;422
310620005620120;1;32;165;96;12;4;3;3;0;1;168;585
310620005620121;1;31;396;79;7;4;0;0;1;0;277;981
310620005620122;1;17;99;55;6;4;1;0;0;0;80;311
310620005620123;1;5;97;37;2;0;1;0;0;0;76;278
310620005620124;1;14;138;60;15;9;1;0;1;0;189;523
310620005620125;1;8;207;118;16;10;1;1;1;1;208;698
310620005620126;1;8;119;93;8;2;1;0;0;0;103;400
310620005620127;1;5;212;94;10;4;1;0;0;0;157;582
310620005620128;1;21;247;270;57;24;16;2;1;1;247;1044
310620005620129;1;30;249;221;40;16;8;0;0;0;199;871
310620005620130;1;8;182;108;18;13;13;3;1;1;136;575
310620005620131;1;33;200;125;9;7;0;0;0;0;196;689
310620005620132;1;7;87;39;8;2;0;0;0;1;92;278
310620005620133;1;14;136;48;14;11;6;3;0;1;107;413
310620005620134;1;11;199;124;18;4;1;0;0;0;181;657
310620005620135;1;7;114;63;9;5;0;0;3;0;104;348
310620005620136;1;24;194;174;29;14;1;0;1;0;161;708
310620005620137;1;3;95;69;8;3;3;1;1;0;95;322
310620005620138;1;35;272;227;40;11;6;0;0;0;195;936
310620005620139;1;13;186;153;22;7;5;0;1;1;183;663
310620005620140;1;6;139;77;10;5;0;1;0;0;99;410
310620005620141;1;18;268;221;33;14;4;1;0;0;248;978
310620005620142;1;14;283;181;32;15;8;2;0;3;275;967
310620005620143;1;35;427;156;3;2;1;0;0;0;285;1173
310620005620144;1;2;25;38;6;28;44;8;37;29;77;332
310620005620145;1;2;14;58;51;86;130;44;70;104;207;816
310620005620146;1;0;13;34;16;28;89;20;47;48;102;422
310620005620147;1;0;26;43;38;44;109;39;58;77;167;659
310620005620148;1;4;22;54;55;82;152;30;50;14;116;598
310620005620149;1;4;37;59;35;63;110;49;51;56;106;614
310620005620150;1;0;19;37;63;71;115;60;19;48;138;608
310620005620151;1;2;23;51;28;59;112;38;46;70;240;725
310620005620152;1;1;27;45;21;71;142;55;86;84;172;782
310620005620153;1;0;3;11;12;33;33;17;21;17;136;301
310620005620154;1;3;31;66;63;112;159;53;36;26;145;736
310620005620155;1;1;35;86;43;76;144;49;52;46;156;747
310620005620156;1;5;43;106;52;94;205;84;92;138;234;1162
310620005620157;1;0;10;13;15;26;50;13;21;12;25;201
310620005620158;1;1;24;37;24;28;91;19;36;54;99;444
310620005620159;1;0;15;41;22;42;108;32;48;61;132;547
310620005620160;1;3;20;42;32;48;88;23;22;18;97;422
310620005620161;1;2;28;75;51;74;142;42;74;69;171;783
310620005620162;1;0;41;65;53;56;106;26;42;37;120;584
310620005620163;1;0;26;41;30;66;71;21;27;10;91;400
310620005620164;1;0;24;49;32;63;86;21;32;42;133;512
310620005620165;1;4;12;26;6;24;67;22;49;66;73;381
310620005620166;1;3;38;62;32;63;126;59;73;123;211;859
310620005620167;1;0;1;1;3;0;13;6;4;3;11;47
310620005620168;1;0;23;38;14;37;91;31;35;38;183;519
310620005620169;1;0;10;11;16;16;26;10;11;4;39;147
310620005620170;1;2;26;40;28;39;87;40;37;43;104;477
310620005620171;1;3;14;42;38;48;53;11;8;2;57;284
310620005620172;1;1;43;67;48;47;91;13;10;7;106;445
310620005620173;1;1;14;10;10;9;7;1;1;1;23;78
310620005620174;1;3;44;78;48;34;33;7;1;2;53;320
310620005620175;1;2;34;55;40;33;24;8;2;1;32;244
310620005620176;1;1;39;107;89;85;62;7;3;2;35;441
310620005620177;1;2;45;83;54;93;94;10;10;21;117;544
310620005620178;1;1;34;59;41;61;72;11;2;6;82;384
310620005620179;1;0;52;110;84;109;104;22;15;4;131;649
310620005620180;1;6;65;107;55;93;106;23;22;10;185;681
310620005620181;1;4;65;92;54;89;110;41;11;20;218;733
310620005620182;1;5;41;76;54;87;97;36;10;17;128;575
310620005620183;1;1;33;78;58;79;62;23;9;4;86;456
310620005620184;1;1;86;198;94;94;73;5;9;7;108;700
310620005620185;1;2;77;140;67;75;62;5;3;8;95;556
310620005620186;1;2;10;27;15;20;21;0;6;1;26;137
310620005620187;1;2;29;61;62;83;112;20;20;20;129;563
310620005620188;1;2;28;66;47;79;112;27;41;18;128;580
310620005620189;1;0;28;65;29;51;88;18;4;6;85;392
310620005620190;1;1;40;70;57;99;97;17;11;15;115;543
310620005620191;1;0;23;63;26;51;117;39;35;55;109;555
310620005620192;1;0;12;48;19;48;111;49;67;117;188;726
310620005620193;1;0;14;29;27;43;102;46;45;40;116;488
310620005620194;1;1;21;43;27;56;104;44;43;53;241;700
310620005620195;1;2;30;61;39;89;165;42;62;59;201;783
310620005620196;1;0;22;52;28;63;79;26;32;40;142;509
310620005620197;1;5;34;62;50;81;98;30;28;22;141;576
310620005620198;1;2;36;76;54;98;131;34;58;34;215;783
310620005620199;1;0;33;74;39;95;127;46;45;42;150;682
310620005620200;1;1;28;55;52;86;114;34;41;35;171;659
310620005620201;1;2;30;67;41;68;124;56;53;73;141;696
310620005620202;1;1;21;44;41;64;136;31;72;56;135;645
310620005620203;1;1;13;45;37;56;96;33;49;93;171;629
310620005620204;1;3;38;53;24;87;134;61;73;104;187;808
310620005620205;1;1;24;50;41;81;127;56;65;132;213;845
310620005620206;1;0;23;41;31;30;71;24;66;95;182;597
310620005620207;1;1;35;55;46;62;76;14;7;10;157;471
310620005620208;1;1;40;56;34;63;102;27;11;14;83;443
310620005620209;1;0;42;86;60;103;148;51;35;34;80;666
310620005620210;1;1;7;23;25;50;60;16;13;13;61;278
310620005620211;1;2;34;57;49;67;90;30;12;17;179;551
310620005620212;1;2;33;85;67;102;118;26;15;18;110;599
310620005620213;1;2;42;63;27;54;42;14;6;2;57;319
310620005620214;1;2;28;56;49;71;78;13;16;16;108;442
310620005620215;1;1;47;71;59;92;106;27;31;25;99;581
310620005620216;1;5;28;57;33;39;59;11;6;8;54;308
310620005620217;1;2;52;93;75;65;62;13;15;5;129;535
310620005620218;1;1;61;103;73;48;38;8;5;2;49;409
310620005620219;1;0;53;82;70;77;66;14;11;6;94;494
310620005620220;1;5;78;131;101;104;108;21;14;7;68;653
310620005620221;1;3;14;33;21;50;106;45;65;94;122;617
310620005620222;1;0;16;39;41;58;164;42;79;68;168;734
310620005620223;1;2;30;45;35;66;153;65;53;52;172;740
310620005620224;1;1;23;51;43;68;127;59;58;56;184;719
310620005620225;1;1;23;56;42;69;116;55;56;67;248;787
310620005620226;1;1;31;53;40;84;126;47;73;62;168;724
310620005620227;1;1;30;80;49;85;136;49;62;43;196;788
310620005620228;1;0;31;47;30;42;121;37;48;46;143;590
310620005620229;1;0;25;45;41;66;120;22;52;51;167;642
310620005620230;1;0;42;43;66;100;177;47;51;31;174;776
310620005620231;1;3;24;45;39;87;135;30;42;28;120;601
310620005620232;1;0;26;59;49;59;111;32;30;26;131;566
310620005620233;1;2;35;68;51;84;125;32;28;25;149;654
310620005620234;1;1;39;70;48;101;136;56;49;50;175;773
310620005620235;1;2;26;75;40;88;187;48;57;55;157;775
310620005620236;1;1;48;103;57;107;210;51;67;56;157;922
310620005620237;1;4;24;39;28;59;120;39;43;59;131;583
310620005620238;1;0;8;20;15;36;81;41;27;71;93;441
310620005620239;1;1;23;64;33;42;130;48;74;125;221;804
310620005620240;1;1;10;60;34;43;81;39;60;161;179;717
310620005620241;1;1;4;30;31;34;88;40;67;94;109;530
310620005620242;1;2;14;30;24;51;97;38;53;77;103;557
310620005620243;1;5;13;43;36;59;133;83;23;82;165;683
310620005620244;1;2;16;35;30;47;66;37;37;18;103;409
310620005620245;1;0;8;34;20;52;111;48;53;79;187;632
310620005620246;1;0;8;16;15;35;54;17;25;27;88;299
310620005620247;1;6;74;121;90;80;68;19;12;8;71;577
310620005620248;1;0;43;73;41;49;45;5;3;4;23;300
310620005620249;1;1;51;118;67;82;81;10;2;4;62;498
310620005620250;1;4;65;137;83;93;67;9;7;6;134;638
310620005620251;1;0;35;115;66;100;76;9;3;8;77;505
310620005620252;1;4;41;83;35;72;51;7;2;3;76;391
310620005620253;1;0;25;64;38;77;143;53;70;90;246;845
310620005620254;1;1;13;40;16;38;110;39;61;66;140;602
310620005620255;1;0;14;49;25;71;137;43;83;71;180;735
310620005620256;1;1;29;33;45;72;154;45;55;45;139;664
310620005620257;1;0;26;72;40;88;191;72;155;142;225;1141
310620005620258;1;1;13;25;31;66;106;40;62;69;139;626
